Problem,nbvar,max_dom,nbconstr,max_arity,toulbar2_cputime,toulbar2_bestsol,toulbar2_status,toulbar2_bestbound,toulbar2_nbnodes,ACE_cputime,ACE_bestsol,ACE_status,ACE_bestbound,ACE_nbnodes,Cpmpy_Ortools_CP_SAT_Free_cputime,Cpmpy_Ortools_CP_SAT_Free_bestsol,Cpmpy_Ortools_CP_SAT_Free_status,Cpmpy_Ortools_CP_SAT_Free_bestbound,Cpmpy_Ortools_CP_SAT_Free_nbnodes,Minizinc_Ortools_CP_SAT_Fixed_cputime,Minizinc_Ortools_CP_SAT_Fixed_bestsol,Minizinc_Ortools_CP_SAT_Fixed_status,Minizinc_Ortools_CP_SAT_Fixed_bestbound,Minizinc_Ortools_CP_SAT_Fixed_nbnodes,Minizinc_Ortools_CP_SAT_Free_cputime,Minizinc_Ortools_CP_SAT_Free_bestsol,Minizinc_Ortools_CP_SAT_Free_status,Minizinc_Ortools_CP_SAT_Free_bestbound,Minizinc_Ortools_CP_SAT_Free_nbnodes,Pytoulbar2_toulbar2_cputime,Pytoulbar2_toulbar2_bestsol,Pytoulbar2_toulbar2_status,Pytoulbar2_toulbar2_bestbound,Pytoulbar2_toulbar2_nbnodes,pytoulbar2_toulbar2_no_branching_cputime,pytoulbar2_toulbar2_no_branching_bestsol,pytoulbar2_toulbar2_no_branching_status,pytoulbar2_toulbar2_no_branching_bestbound,pytoulbar2_toulbar2_no_branching_nbnodes
LotSizing-pigment15a,75,197,385,15,76.375,1195,OPT,1195,187022,104.187,1195,OPT,0,1819391,1200,1195.0,FEAS,80.0,2538646,50.1109,1195.0,OPT,1195.0,447931,10.633,1195.0,OPT,1195.0,48474,6.677,1195,OPT,1195,110624,7.508,1195,OPT,1195,130894
LotSizing-pigment15b,73,198,364,15,99.481,1123,OPT,1123,334146,123.942,1123,OPT,0,2590246,1200,1123.0,FEAS,70.0,2517127,83.5711,1123.0,OPT,1123.0,653483,33.7812,1123.0,OPT,1123.0,55187,11.334,1123,OPT,1123,260089,15.801,1123,OPT,1123,396333
LotSizing-pigment15c,71,200,357,15,686.471,1370,OPT,1370,2296969,1200.0,1370,FEAS,0,18928629,1200,1388.0,FEAS,70.0,2682204,878.563,1370.0,OPT,1370.0,5204158,14.684,1370.0,OPT,1370.0,50477,12.568,1370,OPT,1370,204386,17.223,1370,OPT,1370,286620
LotSizing-pigment15d,70,197,336,15,1200.,1486,FEAS,668,4157819,1200.0,1486,FEAS,0,20923307,1200,1507.0,FEAS,70.0,2588113,1200,1558.0,FEAS,70.0,5632165,32.2879,1486.0,OPT,1486.0,68683,149.97,1486,OPT,1486,3566996,142.411,1486,OPT,1486,3525628
LotSizing-pigment20a,99,324,569,20,174.969,1147,OPT,1147,255140,269.475,1147,OPT,0,3216538,1200,1147.0,FEAS,90.0,1920222,241.284,1147.0,OPT,1147.0,1375571,19.5067,1147.0,OPT,1147.0,49718,27.547,1147,OPT,1147,367933,29.701,1147,OPT,1147,402402
LotSizing-pigment20b,104,343,596,20,1200.,2101,FEAS,1363,2526350,1200.0,2101,FEAS,0,18068834,1200,2209.0,FEAS,100.0,2381674,1200,2101.0,FEAS,808.0,5914579,32.6665,2101.0,OPT,2101.0,58478,1.765,2101,OPT,2101,9940,1.726,2101,OPT,2101,9508
LotSizing-pigment20c,101,362,612,20,887.176,2182,OPT,2182,2015768,1200.0,2182,FEAS,0,15459581,1200,2251.0,FEAS,387.0,1323739,1200,2247.0,FEAS,120.0,3198322,13.1743,2182.0,OPT,2182.0,35604,3.571,2182,OPT,2182,42451,2.941,2182,OPT,2182,38465
LotSizing-pigment30a,118,349,617,30,1200.,1129,FEAS,229,2936598,1200.0,1119,FEAS,0,14341887,1200,1119.0,FEAS,44.0,1630718,1200,1119.0,FEAS,20.0,5433661,28.2004,1119.0,OPT,1119.0,53091,1200,1129,FEAS,577,17379680,1200,1119,FEAS,585,17565060
LotSizing-pigment30b,114,320,573,30,1200.,1395,FEAS,280,1075316,1200.0,1320,FEAS,0,12458218,1200,1320.0,FEAS,40.0,1861184,1200,1830.0,FEAS,40.0,5072061,113.215,1320.0,OPT,1320.0,53207,1200,1344,FEAS,654,20777024,1200,1320,FEAS,650,19330687
LotSizing-pigment30c,133,465,770,30,1200.,1753,FEAS,517,2502740,1200.0,1707,FEAS,0,10034596,1200,1793.0,FEAS,65.0,1416444,1200,2007.0,FEAS,70.0,2794843,222.206,1707.0,OPT,1707.0,67957,1200,1707,FEAS,1324,11807873,1176.041,1707,OPT,1707,14820545
